Symptom,Hypertension,Coronary artery disease,Heart attack (Myocardial infarction),Heart failure,Arrhythmia,Peripheral artery disease,Stroke,Atherosclerosis,Atrial fibrillation,Deep vein thrombosis (DVT),Asthma,Chronic obstructive pulmonary disease (COPD),Pneumonia,Bronchitis,Tuberculosis,Pulmonary embolism,Lung cancer,Cystic fibrosis,Sleep apnea,Influenza (Flu),Alzheimer’s disease,Parkinson’s disease,Epilepsy,Migraine,Multiple sclerosis (MS),Amyotrophic lateral sclerosis (ALS),Dementia,Peripheral neuropathy,Bell’s palsy,Stroke (neurological),Diabetes mellitus (Type 1 & Type 2),Hypothyroidism,Hyperthyroidism,Cushing’s syndrome,Addison’s disease,Polycystic ovary syndrome (PCOS),Metabolic syndrome,Obesity,Gout,Hypoglycemia,Common cold,COVID-19,"Hepatitis A, B, or C",HIV/AIDS,Malaria,Lyme disease,Chickenpox (Varicella),Measles,Mumps,Rubella,Rheumatoid arthritis,Lupus (Systemic lupus erythematosus),Psoriasis,Celiac disease,Crohn’s disease,Ulcerative colitis,Ankylosing spondylitis,Graves’ disease,Sjögren’s syndrome,Scleroderma,Gastroesophageal reflux disease (GERD),Peptic ulcer disease,Irritable bowel syndrome (IBS),Gallstones,Pancreatitis,Liver cirrhosis,Hepatitis,Constipation,Hemorrhoids,Gastritis,Osteoarthritis,Osteoporosis,Fibromyalgia,Back pain,Scoliosis,Tendonitis,Carpal tunnel syndrome,Bursitis,Gout (musculoskeletal),Fractures,Cataracts,Glaucoma,Macular degeneration,Conjunctivitis (Pink eye),Tinnitus,Hearing loss,Meniere’s disease,Dry eye syndrome,Retinal detachment,Ear infection (Otitis media),Acne,Eczema (Atopic dermatitis),Psoriasis (skin),Rosacea,"Skin cancer (Melanoma, BCC, SCC)",Warts,Fungal infections,Hives (Urticaria),Shingles (Herpes zoster),Vitiligo
Confusion,0.088,0.069,0.072,0.025,0.017,0.086,0.15,0.039,0.096,0.017,0.025,0.044,0.076,0.059,0.091,0.018,0.063,0.065,0.053,0.013,0.7,0.15,0.4,0.024,0.019,0.028,0.15,0.073,0.075,0.18,0.034,0.035,0.031,0.014,0.061,0.086,0.024,0.042,0.048,0.037,0.07,0.064,0.028,0.012,0.025,0.036,0.017,0.086,0.038,0.046,0.054,0.069,0.018,0.059,0.027,0.09,0.043,0.05,0.034,0.052,0.03,0.034,0.016,0.078,0.07,0.018,0.041,0.059,0.097,0.063,0.06,0.086,0.084,0.048,0.058,0.088,0.053,0.089,0.053,0.017,0.091,0.074,0.055,0.091,0.082,0.071,0.066,0.021,0.078,0.026,0.099,0.097,0.083,0.021,0.048,0.099,0.049,0.1,0.066,0.085
Memory loss,0.033,0.092,0.092,0.016,0.045,0.046,0.039,0.035,0.051,0.089,0.081,0.066,0.057,0.048,0.047,0.023,0.063,0.078,0.095,0.093,0.9,0.019,0.036,0.058,0.041,0.047,0.044,0.054,0.065,0.013,0.035,0.023,0.065,0.072,0.013,0.09,0.04,0.031,0.077,0.093,0.091,0.012,0.084,0.037,0.035,0.054,0.073,0.019,0.088,0.022,0.098,0.05,0.084,0.034,0.048,0.068,0.027,0.029,0.084,0.077,0.078,0.088,0.084,0.056,0.024,0.038,0.056,0.022,0.087,0.089,0.013,0.027,0.4,0.085,0.032,0.051,0.093,0.073,0.035,0.084,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.041,0.025,0.091,0.077,0.072,0.036,0.045,0.025,0.062,0.097,0.087
Blurred vision,0.02,0.071,0.034,0.047,0.012,0.08,0.079,0.011,0.092,0.068,0.064,0.011,0.033,0.082,0.037,0.097,0.068,0.048,0.044,0.041,0.033,0.052,0.071,0.3,0.046,0.019,0.056,0.07,0.086,0.044,0.2,0.065,0.037,0.02,0.016,0.099,0.068,0.088,0.034,0.074,0.09,0.037,0.023,0.079,0.091,0.082,0.082,0.064,0.069,0.071,0.075,0.069,0.1,0.033,0.048,0.045,0.013,0.074,0.061,0.027,0.075,0.03,0.058,0.081,0.092,0.07,0.056,0.086,0.086,0.089,0.026,0.019,0.022,0.033,0.083,0.079,0.026,0.071,0.04,0.018,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.088,0.063,0.095,0.016,0.09,0.055,0.088,0.044,0.037,0.015,0.087
Double vision,0.022,0.028,0.047,0.061,0.092,0.051,0.038,0.074,0.08,0.054,0.067,0.026,0.067,0.01,0.035,0.079,0.025,0.079,0.054,0.079,0.018,0.065,0.067,0.046,0.097,0.044,0.013,0.028,0.044,0.011,0.039,0.085,0.027,0.071,0.066,0.032,0.072,0.041,0.022,0.045,0.063,0.025,0.084,0.037,0.036,0.076,0.064,0.04,0.09,0.1,0.041,0.091,0.042,0.027,0.095,0.093,0.046,0.031,0.075,0.022,0.076,0.063,0.025,0.043,0.069,0.013,0.089,0.033,0.058,0.014,0.1,0.07,0.069,0.012,0.072,0.048,0.044,0.059,0.053,0.024,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.019,0.075,0.021,0.02,0.02,0.028,0.028,0.034,0.057,0.028,0.073
Dry eyes,0.037,0.014,0.055,0.029,0.094,0.04,0.01,0.07,0.092,0.085,0.07,0.023,0.018,0.056,0.075,0.019,0.033,0.031,0.099,0.037,0.052,0.019,0.026,0.014,0.036,0.082,0.038,0.076,0.019,0.078,0.014,0.087,0.07,0.025,0.042,0.049,0.066,0.089,0.018,0.083,0.026,0.046,0.097,0.034,0.045,0.087,0.082,0.068,0.082,0.02,0.073,0.015,0.3,0.024,0.047,0.063,0.082,0.071,0.7,0.044,0.042,0.013,0.072,0.085,0.098,0.022,0.093,0.02,0.047,0.014,0.034,0.038,0.073,0.071,0.079,0.062,0.061,0.098,0.07,0.04,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.06,0.3,0.3,0.32,0.3,0.086,0.3,0.3,0.3,0.054,0.32
Eye pain,0.4,0.015,0.03,0.068,0.046,0.031,0.051,0.082,0.05,0.087,0.05,0.021,0.055,0.069,0.019,0.047,0.06,0.01,0.018,0.064,0.066,0.037,0.056,0.029,0.07,0.096,0.043,0.015,0.03,0.051,0.06,0.066,0.053,0.069,0.074,0.02,0.078,0.03,0.6,0.085,0.097,0.036,0.6,0.073,0.014,0.025,0.023,0.075,0.075,0.02,0.065,0.4,0.094,0.045,0.051,0.08,0.075,0.02,0.047,0.093,0.6,0.7,0.8,0.7,0.3,0.3,0.022,0.4,0.5,0.6,0.094,0.6,0.9,0.3,0.5,0.8,0.062,0.6,0.62,0.6,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.097,0.051,0.022,0.047,0.073,0.077,0.037,0.073,0.087,0.8,0.094
Red eyes,0.067,0.028,0.066,0.036,0.041,0.071,0.098,0.069,0.096,0.055,0.072,0.039,0.02,0.042,0.053,0.061,0.07,0.048,0.077,0.086,0.036,0.086,0.083,0.057,0.012,0.023,0.07,0.028,0.078,0.024,0.036,0.033,0.086,0.072,0.037,0.078,0.013,0.083,0.019,0.088,0.077,0.088,0.077,0.061,0.031,0.081,0.082,0.036,0.07,0.093,0.045,0.096,0.098,0.038,0.06,0.011,0.033,0.066,0.08,0.088,0.085,0.092,0.073,0.068,0.078,0.059,0.064,0.08,0.097,0.036,0.026,0.071,0.027,0.026,0.056,0.044,0.049,0.06,0.022,0.063,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.07,0.054,0.062,0.042,0.081,0.039,0.03,0.027,0.016,0.055,0.047
Hearing loss,0.058,0.018,0.03,0.029,0.04,0.042,0.03,0.078,0.058,0.1,0.084,0.098,0.011,0.07,0.05,0.091,0.065,0.066,0.096,0.071,0.039,0.092,0.095,0.045,0.059,0.035,0.092,0.084,0.044,0.082,0.05,0.014,0.091,0.027,0.056,0.095,0.025,0.096,0.058,0.011,0.016,0.07,0.08,0.088,0.048,0.019,0.058,0.073,0.098,0.08,0.068,0.095,0.077,0.024,0.051,0.04,0.018,0.015,0.081,0.06,0.062,0.03,0.033,0.045,0.067,0.049,0.012,0.071,0.058,0.068,0.066,0.078,0.063,0.073,0.017,0.094,0.02,0.081,0.037,0.018,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.096,0.023,0.071,0.092,0.082,0.076,0.044,0.095,0.06,0.06
Ear pain,0.4,0.01,0.064,0.058,0.095,0.037,0.077,0.091,0.041,0.047,0.068,0.056,0.024,0.03,0.085,0.027,0.026,0.082,0.087,0.087,0.094,0.099,0.052,0.059,0.036,0.016,0.019,0.075,0.054,0.04,0.022,0.069,0.019,0.066,0.091,0.039,0.051,0.065,0.6,0.063,0.061,0.043,0.6,0.049,0.01,0.032,0.03,0.077,0.049,0.086,0.022,0.4,0.089,0.052,0.042,0.037,0.06,0.026,0.065,0.086,0.6,0.7,0.8,0.7,0.3,0.3,0.017,0.4,0.5,0.6,0.062,0.6,0.9,0.3,0.5,0.8,0.1,0.6,0.62,0.6,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.8,0.083,0.065,0.025,0.056,0.05,0.026,0.095,0.069,0.8,0.076
Ringing in ears,0.054,0.042,0.03,0.054,0.016,0.043,0.014,0.029,0.092,0.043,0.052,0.051,0.014,0.098,0.039,0.073,0.057,0.085,0.085,0.034,0.059,0.026,0.069,0.043,0.069,0.085,0.056,0.044,0.092,0.056,0.042,0.088,0.054,0.053,0.064,0.055,0.023,0.025,0.017,0.068,0.029,0.027,0.043,0.075,0.021,0.031,0.083,0.075,0.053,0.053,0.029,0.025,0.085,0.012,0.014,0.062,0.025,0.067,0.014,0.062,0.015,0.033,0.026,0.096,0.064,0.061,0.012,0.075,0.07,0.036,0.018,0.05,0.099,0.088,0.025,0.085,0.064,0.082,0.084,0.026,0.069,0.034,0.075,0.041,0.051,0.063,0.031,0.045,0.02,0.028,0.087,0.055,0.048,0.023,0.019,0.053,0.065,0.014,0.081,0.055
Runny nose,0.021,0.053,0.022,0.064,0.084,0.091,0.08,0.068,0.057,0.043,0.014,0.058,0.031,0.082,0.081,0.044,0.063,0.077,0.079,0.073,0.019,0.022,0.053,0.031,0.087,0.035,0.089,0.047,0.027,0.074,0.081,0.062,0.021,0.011,0.069,0.072,0.038,0.043,0.024,0.069,0.8,0.087,0.048,0.043,0.035,0.071,0.078,0.047,0.081,0.053,0.043,0.06,0.033,0.038,0.041,0.073,0.076,0.087,0.069,0.077,0.05,0.073,0.025,0.029,0.046,0.04,0.06,0.073,0.074,0.024,0.097,0.01,0.018,0.023,0.093,0.049,0.016,0.03,0.017,0.013,0.045,0.099,0.065,0.057,0.074,0.064,0.095,0.084,0.068,0.05,0.028,0.069,0.082,0.036,0.013,0.064,0.056,0.031,0.025,0.013
Nasal congestion,0.032,0.01,0.024,0.1,0.08,0.042,0.046,0.063,0.057,0.076,0.016,0.018,0.036,0.085,0.092,0.041,0.097,0.035,0.065,0.028,0.094,0.062,0.033,0.047,0.02,0.017,0.036,0.095,0.082,0.096,0.089,0.083,0.062,0.072,0.097,0.061,0.079,0.078,0.097,0.051,0.051,0.063,0.012,0.02,0.016,0.067,0.099,0.071,0.031,0.038,0.096,0.056,0.011,0.085,0.032,0.018,0.071,0.084,0.017,0.094,0.053,0.042,0.09,0.034,0.095,0.071,0.092,0.055,0.028,0.076,0.089,0.029,0.028,0.032,0.066,0.024,0.02,0.093,0.071,0.07,0.065,0.079,0.059,0.014,0.053,0.066,0.054,0.099,0.091,0.088,0.054,0.099,0.092,0.035,0.03,0.062,0.015,0.082,0.053,0.059
Sneezing,0.055,0.045,0.072,0.026,0.098,0.073,0.051,0.072,0.011,0.029,0.062,0.039,0.065,0.033,0.059,0.031,0.052,0.065,0.043,0.055,0.029,0.073,0.044,0.087,0.035,0.026,0.022,0.062,0.031,0.019,0.034,0.031,0.049,0.044,0.023,0.096,0.023,0.083,0.026,0.055,0.7,0.086,0.057,0.075,0.081,0.037,0.061,0.061,0.046,0.072,0.015,0.083,0.053,0.067,0.05,0.04,0.042,0.06,0.094,0.033,0.012,0.021,0.088,0.097,0.028,0.062,0.068,0.026,0.08,0.042,0.071,0.054,0.076,0.09,0.044,0.036,0.067,0.023,0.025,0.083,0.04,0.067,0.061,0.086,0.016,0.025,0.031,0.039,0.036,0.034,0.068,0.034,0.05,0.088,0.043,0.063,0.097,0.047,0.027,0.012
Postnasal drip,0.075,0.07,0.095,0.073,0.017,0.025,0.019,0.016,0.089,0.059,0.012,0.046,0.079,0.017,0.034,0.024,0.069,0.09,0.038,0.032,0.036,0.066,0.022,0.085,0.013,0.07,0.087,0.039,0.053,0.098,0.059,0.035,0.05,0.097,0.073,0.026,0.064,0.067,0.067,0.061,0.057,0.068,0.038,0.041,0.059,0.082,0.05,0.043,0.033,0.037,0.01,0.083,0.086,0.041,0.052,0.011,0.093,0.095,0.053,0.011,0.049,0.036,0.031,0.011,0.044,0.047,0.06,0.046,0.025,0.076,0.045,0.044,0.034,0.048,0.032,0.079,0.092,0.083,0.072,0.036,0.077,0.083,0.047,0.087,0.026,0.036,0.067,0.066,0.034,0.066,0.027,0.012,0.014,0.058,0.027,0.019,0.034,0.074,0.075,0.031
Hoarseness,0.024,0.054,0.041,0.038,0.082,0.1,0.052,0.081,0.04,0.086,0.096,0.015,0.08,0.016,0.052,0.027,0.086,0.084,0.085,0.021,0.079,0.032,0.079,0.05,0.076,0.013,0.051,0.079,0.057,0.098,0.053,0.071,0.038,0.039,0.067,0.014,0.094,0.057,0.033,0.067,0.028,0.09,0.088,0.03,0.02,0.067,0.039,0.025,0.035,0.021,0.081,0.011,0.014,0.081,0.053,0.064,0.043,0.018,0.024,0.018,0.066,0.094,0.1,0.066,0.015,0.068,0.073,0.081,0.021,0.031,0.098,0.081,0.078,0.082,0.049,0.027,0.072,0.042,0.022,0.091,0.054,0.049,0.037,0.073,0.027,0.027,0.041,0.076,0.035,0.085,0.092,0.06,0.016,0.024,0.037,0.034,0.043,0.01,0.067,0.044
Difficulty swallowing,0.027,0.012,0.087,0.08,0.031,0.075,0.069,0.059,0.045,0.057,0.055,0.06,0.065,0.039,0.068,0.02,0.057,0.016,0.085,0.022,0.089,0.028,0.054,0.019,0.061,0.085,0.069,0.057,0.073,0.033,0.043,0.065,0.016,0.094,0.029,0.054,0.09,0.017,0.082,0.015,0.06,0.094,0.047,0.043,0.074,0.084,0.034,0.014,0.016,0.037,0.095,0.096,0.019,0.075,0.058,0.027,0.057,0.032,0.066,0.026,0.077,0.047,0.019,0.067,0.042,0.051,0.07,0.089,0.025,0.026,0.046,0.04,0.024,0.1,0.05,0.042,0.038,0.099,0.039,0.043,0.079,0.049,0.075,0.065,0.061,0.029,0.079,0.093,0.033,0.097,0.05,0.046,0.075,0.098,0.064,0.057,0.099,0.037,0.037,0.03
Dry mouth,0.087,0.012,0.084,0.072,0.035,0.06,0.06,0.093,0.024,0.013,0.042,0.022,0.043,0.062,0.031,0.083,0.018,0.046,0.093,0.076,0.075,0.081,0.026,0.084,0.072,0.062,0.092,0.064,0.037,0.076,0.062,0.017,0.015,0.079,0.041,0.084,0.047,0.088,0.088,0.03,0.069,0.064,0.011,0.08,0.044,0.037,0.014,0.059,0.023,0.055,0.03,0.015,0.3,0.045,0.05,0.064,0.055,0.03,0.8,0.045,0.022,0.017,0.061,0.014,0.046,0.018,0.055,0.08,0.022,0.022,0.06,0.054,0.069,0.028,0.065,0.076,0.032,0.016,0.08,0.039,0.093,0.018,0.07,0.048,0.041,0.039,0.063,0.012,0.037,0.099,0.3,0.3,0.32,0.3,0.014,0.3,0.3,0.3,0.078,0.32
Mouth ulcers,0.02,0.015,0.095,0.093,0.088,0.084,0.011,0.072,0.02,0.051,0.012,0.029,0.058,0.028,0.057,0.033,0.053,0.076,0.023,0.073,0.012,0.062,0.07,0.014,0.025,0.036,0.081,0.066,0.015,0.069,0.011,0.045,0.034,0.087,0.069,0.088,0.012,0.088,0.068,0.031,0.044,0.098,0.019,0.038,0.088,0.058,0.027,0.055,0.051,0.093,0.012,0.032,0.058,0.04,0.045,0.024,0.041,0.042,0.066,0.031,0.098,0.055,0.083,0.066,0.089,0.09,0.083,0.013,0.06,0.035,0.024,0.091,0.069,0.018,0.044,0.096,0.065,0.066,0.03,0.032,0.024,0.097,0.092,0.04,0.059,0.029,0.022,0.059,0.082,0.088,0.038,0.073,0.057,0.022,0.1,0.098,0.023,0.094,0.093,0.039
Gum bleeding,0.06,0.095,0.021,0.039,0.089,0.075,0.079,0.089,0.047,0.047,0.05,0.094,0.09,0.094,0.035,0.08,0.02,0.027,0.079,0.065,0.034,0.061,0.031,0.031,0.072,0.042,0.072,0.053,0.055,0.064,0.074,0.044,0.087,0.054,0.022,0.027,0.013,0.079,0.011,0.034,0.047,0.077,0.099,0.078,0.016,0.093,0.099,0.088,0.054,0.039,0.051,0.032,0.046,0.014,0.076,0.044,0.038,0.065,0.077,0.063,0.057,0.15,0.081,0.057,0.051,0.084,0.014,0.1,0.6,0.046,0.076,0.06,0.056,0.067,0.014,0.036,0.046,0.037,0.084,0.052,0.048,0.065,0.015,0.057,0.023,0.085,0.051,0.075,0.02,0.08,0.094,0.073,0.022,0.047,0.22,0.026,0.063,0.074,0.028,0.051
Tooth pain,0.4,0.072,0.092,0.082,0.075,0.021,0.02,0.05,0.043,0.057,0.045,0.081,0.056,0.095,0.044,0.044,0.079,0.092,0.061,0.069,0.024,0.088,0.026,0.074,0.048,0.038,0.079,0.05,0.066,0.021,0.022,0.028,0.066,0.033,0.051,0.087,0.059,0.011,0.6,0.031,0.063,0.053,0.6,0.017,0.064,0.032,0.059,0.066,0.06,0.084,0.014,0.4,0.069,0.013,0.087,0.07,0.085,0.037,0.093,0.014,0.6,0.7,0.8,0.7,0.3,0.3,0.081,0.4,0.5,0.6,0.094,0.6,0.9,0.3,0.5,0.8,0.048,0.6,0.62,0.6,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.099,0.054,0.072,0.094,0.099,0.036,0.065,0.038,0.057,0.8,0.042
Bad breath,0.022,0.061,0.057,0.067,0.054,0.026,0.065,0.074,0.098,0.01,0.012,0.066,0.021,0.086,0.082,0.1,0.047,0.04,0.06,0.067,0.011,0.028,0.035,0.081,0.038,0.056,0.039,0.011,0.072,0.041,0.075,0.065,0.013,0.026,0.04,0.04,0.071,0.092,0.082,0.068,0.053,0.066,0.09,0.058,0.04,0.081,0.047,0.077,0.085,0.037,0.075,0.038,0.058,0.029,0.072,0.082,0.09,0.042,0.097,0.035,0.013,0.099,0.066,0.086,0.061,0.045,0.064,0.088,0.078,0.073,0.038,0.013,0.047,0.055,0.031,0.051,0.096,0.029,0.037,0.02,0.081,0.08,0.092,0.05,0.012,0.053,0.055,0.027,0.093,0.076,0.057,0.08,0.023,0.088,0.084,0.094,0.071,0.022,0.075,0.051
Itching,0.074,0.057,0.01,0.094,0.072,0.063,0.018,0.052,0.014,0.057,0.069,0.038,0.062,0.038,0.09,0.039,0.027,0.035,0.039,0.05,0.021,0.023,0.035,0.011,0.066,0.056,0.029,0.042,0.039,0.023,0.073,0.035,0.032,0.016,0.065,0.04,0.05,0.022,0.052,0.071,0.02,0.015,0.048,0.026,0.064,0.063,0.8,0.073,0.065,0.038,0.084,0.074,0.4,0.058,0.098,0.078,0.052,0.022,0.083,0.093,0.052,0.051,0.072,0.074,0.052,0.031,0.03,0.087,0.4,0.092,0.045,0.073,0.07,0.081,0.089,0.051,0.013,0.053,0.042,0.052,0.025,0.079,0.064,0.021,0.019,0.084,0.082,0.039,0.068,0.081,0.4,0.4,0.42,0.4,0.059,0.4,0.4,0.4,0.6,0.42
Rash,0.081,0.049,0.081,0.059,0.031,0.07,0.017,0.094,0.062,0.054,0.063,0.052,0.06,0.084,0.026,0.096,0.016,0.02,0.083,0.079,0.044,0.054,0.069,0.018,0.084,0.09,0.091,0.067,0.01,0.023,0.023,0.058,0.045,0.062,0.028,0.071,0.038,0.061,0.092,0.037,0.095,0.049,0.098,0.041,0.018,0.6,0.9,0.9,0.021,0.7,0.043,0.2,0.5,0.073,0.084,0.042,0.088,0.088,0.031,0.073,0.045,0.039,0.044,0.044,0.059,0.07,0.053,0.027,0.045,0.093,0.086,0.024,0.1,0.07,0.022,0.016,0.011,0.075,0.054,0.049,0.099,0.018,0.068,0.047,0.051,0.081,0.064,0.048,0.026,0.056,0.5,0.5,0.52,0.5,0.064,0.5,0.5,0.5,0.9,0.52
Hives,0.059,0.043,0.098,0.061,0.073,0.02,0.053,0.072,0.023,0.076,0.099,0.099,0.08,0.052,0.017,0.09,0.018,0.053,0.077,0.096,0.017,0.067,0.082,0.038,0.015,0.041,0.08,0.052,0.056,0.052,0.076,0.048,0.096,0.082,0.036,0.013,0.093,0.077,0.075,0.061,0.016,0.053,0.025,0.015,0.099,0.083,0.066,0.036,0.017,0.056,0.087,0.035,0.022,0.035,0.087,0.011,0.02,0.026,0.063,0.024,0.05,0.083,0.034,0.073,0.054,0.082,0.088,0.041,0.018,0.023,0.094,0.024,0.055,0.099,0.079,0.031,0.05,0.067,0.029,0.076,0.041,0.068,0.078,0.02,0.025,0.046,0.037,0.077,0.078,0.058,0.044,0.074,0.053,0.023,0.088,0.011,0.093,0.05,0.071,0.097
Dry skin,0.071,0.014,0.093,0.067,0.096,0.049,0.093,0.087,0.04,0.034,0.019,0.069,0.045,0.08,0.077,0.076,0.063,0.028,0.04,0.072,0.026,0.059,0.071,0.085,0.011,0.019,0.019,0.05,0.03,0.035,0.027,0.3,0.018,0.094,0.069,0.085,0.096,0.067,0.074,0.021,0.087,0.022,0.069,0.091,0.061,0.097,0.091,0.073,0.033,0.052,0.094,0.067,0.3,0.035,0.048,0.091,0.079,0.039,0.025,0.017,0.08,0.044,0.04,0.015,0.096,0.034,0.05,0.054,0.094,0.065,0.026,0.054,0.023,0.079,0.03,0.068,0.092,0.074,0.019,0.017,0.061,0.033,0.05,0.091,0.023,0.068,0.094,0.07,0.034,0.073,0.3,0.3,0.32,0.3,0.054,0.3,0.3,0.3,0.081,0.32
Flushing,0.01,0.096,0.084,0.053,0.061,0.094,0.042,0.071,0.046,0.067,0.096,0.018,0.058,0.096,0.017,0.051,0.079,0.068,0.026,0.014,0.045,0.027,0.073,0.091,0.067,0.042,0.018,0.067,0.076,0.023,0.027,0.075,0.063,0.054,0.016,0.059,0.038,0.058,0.085,0.05,0.1,0.013,0.015,0.081,0.014,0.021,0.083,0.07,0.051,0.071,0.089,0.023,0.062,0.093,0.013,0.023,0.069,0.052,0.093,0.014,0.073,0.022,0.026,0.014,0.038,0.081,0.051,0.025,0.063,0.084,0.02,0.055,0.082,0.03,0.082,0.048,0.083,0.098,0.071,0.039,0.098,0.062,0.022,0.085,0.081,0.079,0.063,0.04,0.021,0.023,0.047,0.073,0.06,0.049,0.093,0.014,0.019,0.086,0.065,0.08
Pale skin,0.011,0.054,0.011,0.026,0.018,0.069,0.09,0.047,0.083,0.08,0.072,0.029,0.068,0.057,0.047,0.094,0.065,0.013,0.026,0.055,0.096,0.066,0.08,0.041,0.01,0.031,0.021,0.058,0.019,0.043,0.079,0.059,0.03,0.079,0.069,0.035,0.027,0.082,0.072,0.097,0.053,0.026,0.07,0.014,0.068,0.036,0.049,0.04,0.082,0.078,0.014,0.077,0.3,0.026,0.081,0.054,0.02,0.091,0.075,0.063,0.039,0.028,0.071,0.039,0.08,0.039,0.019,0.076,0.088,0.044,0.03,0.052,0.054,0.09,0.023,0.094,0.051,0.045,0.022,0.075,0.067,0.098,0.028,0.021,0.072,0.015,0.022,0.087,0.051,0.025,0.3,0.3,0.32,0.3,0.067,0.3,0.3,0.3,0.087,0.32
Blue lips,0.087,0.054,0.1,0.063,0.085,0.035,0.076,0.076,0.032,0.039,0.062,0.09,0.063,0.023,0.062,0.01,0.098,0.014,0.052,0.079,0.013,0.058,0.053,0.082,0.084,0.051,0.032,0.06,0.011,0.076,0.095,0.022,0.037,0.068,0.018,0.053,0.037,0.073,0.087,0.077,0.012,0.051,0.079,0.089,0.046,0.081,0.043,0.052,0.067,0.087,0.016,0.09,0.04,0.013,0.048,0.034,0.095,0.059,0.082,0.081,0.017,0.089,0.076,0.015,0.095,0.071,0.09,0.02,0.043,0.066,0.043,0.026,0.06,0.016,0.074,0.028,0.098,0.031,0.02,0.053,0.095,0.062,0.096,0.029,0.077,0.03,0.042,0.034,0.071,0.035,0.016,0.041,0.054,0.057,0.021,0.074,0.071,0.058,0.036,0.066
Jaundice,0.082,0.095,0.083,0.095,0.016,0.09,0.051,0.017,0.091,0.036,0.096,0.02,0.035,0.073,0.055,0.089,0.057,0.066,0.036,0.097,0.059,0.022,0.041,0.05,0.068,0.036,0.016,0.088,0.031,0.095,0.068,0.047,0.041,0.068,0.039,0.063,0.073,0.086,0.05,0.037,0.022,0.081,0.5,0.033,0.054,0.097,0.079,0.014,0.042,0.051,0.025,0.093,0.074,0.036,0.098,0.086,0.072,0.07,0.024,0.031,0.014,0.038,0.021,0.1,0.027,0.4,0.52,0.039,0.041,0.044,0.059,0.025,0.037,0.093,0.046,0.055,0.023,0.051,0.039,0.01,0.076,0.098,0.04,0.073,0.053,0.036,0.095,0.098,0.062,0.023,0.061,0.092,0.05,0.072,0.076,0.091,0.023,0.06,0.038,0.046
Hair loss,0.086,0.05,0.018,0.015,0.068,0.063,0.03,0.094,0.035,0.012,0.058,0.05,0.07,0.018,0.056,0.028,0.039,0.064,0.095,0.092,0.042,0.023,0.087,0.043,0.044,0.036,0.042,0.098,0.089,0.018,0.076,0.05,0.099,0.082,0.036,0.083,0.097,0.048,0.091,0.023,0.063,0.018,0.029,0.053,0.088,0.099,0.016,0.096,0.078,0.018,0.047,0.092,0.047,0.06,0.074,0.078,0.022,0.027,0.044,0.06,0.014,0.084,0.085,0.037,0.06,0.052,0.012,0.01,0.034,0.096,0.085,0.053,0.069,0.09,0.048,0.054,0.072,0.032,0.021,0.035,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.021,0.056,0.062,0.086,0.025,0.015,0.039,0.089,0.022,0.025,0.035
Night sweats,0.048,0.092,0.042,0.036,0.058,0.094,0.056,0.079,0.026,0.019,0.078,0.059,0.089,0.084,0.6,0.037,0.072,0.072,0.019,0.062,0.084,0.011,0.057,0.044,0.054,0.041,0.092,0.019,0.024,0.03,0.027,0.091,0.065,0.085,0.057,0.058,0.06,0.078,0.02,0.051,0.017,0.084,0.093,0.25,0.7,0.043,0.084,0.09,0.064,0.079,0.041,0.074,0.013,0.083,0.03,0.087,0.023,0.03,0.021,0.022,0.017,0.072,0.081,0.017,0.08,0.078,0.014,0.02,0.081,0.056,0.015,0.021,0.033,0.016,0.07,0.078,0.08,0.093,0.028,0.091,0.027,0.042,0.018,0.086,0.095,0.095,0.041,0.024,0.055,0.076,0.032,0.061,0.019,0.062,0.011,0.03,0.027,0.035,0.091,0.058
Chills,0.098,0.019,0.029,0.055,0.074,0.043,0.063,0.05,0.096,0.026,0.042,0.044,0.029,0.03,0.02,0.099,0.021,0.02,0.022,0.6,0.073,0.06,0.014,0.04,0.02,0.036,0.064,0.038,0.098,0.05,0.06,0.036,0.087,0.027,0.016,0.086,0.053,0.071,0.026,0.1,0.054,0.019,0.049,0.069,0.8,0.023,0.046,0.063,0.019,0.093,0.098,0.016,0.098,0.04,0.064,0.099,0.021,0.085,0.075,0.035,0.074,0.062,0.035,0.081,0.068,0.046,0.053,0.064,0.046,0.054,0.035,0.079,0.02,0.033,0.055,0.067,0.022,0.019,0.015,0.016,0.071,0.097,0.044,0.071,0.024,0.066,0.019,0.017,0.078,0.079,0.081,0.028,0.07,0.054,0.034,0.041,0.087,0.059,0.096,0.013
